T/F: the lifetime prevalence of bipolar disorder is 1% to 4%	True, the lifetime prevalence of bipolar disorder is 1% to 4%
T/F: in treating bipolar depression, there is a clear consensus on the use of antidepressants	False, unlike in major depression, the use of antidepressants in bipolar disorder is somewhat controversial, and there remains a lack of consensuys regarding their place in therapy
T/F: the potential of antidepressants to increase cycling, shortening inter-episode periods and provoking a switch into mania, is greatest with the SSRIs	False, all antidepressants have this propensity to some degree, but tricyclics confer the greatest risk
T/F: there is substantive support for use of monotherapy with a mood stabiliser such as lithium , sodium valproate or lamotrigine as first-line treatment of bipolar depression	True, there is substantive support for use of monotherapy with a mood stabiliser such as lithium , sodium valproate or lamotrigine as first-line treatment of bipolar depression, and this course of action is advocated by several treatment guidelines
T/F: if antidepressants are used in bipolar disorder, they should not be used in the absence of a concomitant mood stabiliser	True, if antidepressants are used in bipolar disorder, they should not be used in the absence of a concomitant mood stabiliser, and even in these circumstances their use should probably be limited to short-term treatment.
T/F: during the maintenance phase of bipolar disorder the most common reason for relapse is lack of efficacy of the medication	False, during the maintenance phase of bipolar disorder the most common reason for relapse is treatment non-adherence
T/F: overall, most agents used in the maintenance phase of bipolar disorder have greater efficacy in preventing relapse into mania, than into depression	True, overall, most agents used in the maintenance phase of bipolar disorder have greater efficacy in preventing relapse into mania, with the exception of lamotrigine
T/F: a significant proportion of patients with bipolar disorder will need combinations of mood stabilisers for an adequate response	True, a significant proportion of patients with bipolar disorder will need combinations of mood stabilisers for an adequate response
T/F: in practice, an 'adequate trial' of maintenance treatment may require up to six months before effectiveness or lack of efficacy can be determined	False, an 'adequate trial' of maintenance treatment may require up to a year before effectiveness or lack of efficacy can be determined.
T/F: adjunctive psychotherapy has been shown to improve adherence to treatment in bipolar disorder	True, adjunctive psychotherapy has been shown to improve adherence to treatment in bipolar disorder. Most of the benefit has been seen in the maintenance phase of treatment.
In essence, all effective psychological interventions include which 3 features?	Psycho-education (about the disorder), promote individual adherence, and employ mood-monitoring and relapse-prevention strategies.
Which drugs have demonstrated efficacy in the maintenance treatment of bipolar disorder?	Lithium, some anticonvulsants (sodium valproate, lamotrigine), some atypical antipsychotics (olanzapine, quetiapine)
