"An elderly woman on neuroleptics for a few years begins to get involuntary movements of the tongue, face, neck and upper extremities.
Dx?
Tx? ","Dx: Tardive Dyskinesia
(often irreversible)

Tx: (no cure)
1. Don't abruptly stop meds, switch to atypicals
2. give Clozapine to help Sx ",
"What neuroleptic (antipsychotic) drug causes Agranulocytosis?
What must every patient do on this durg? ","Clozapine

Patient must have Weekly WBC

(never use as first line due to AE...only in patient who has failed other medication and has a lot of negative Sx) ",
what type of Sx do Typical and Atypical antipsychotics treat? ,"Typical: Positive Sx only
(DA receptor blocker)


Atypical: Positive and Negative Sx
(DA and Serotonin receptor blocker) ",
"What drugs should be used first-line for antipsychosis?
(3) ","Risperidone;

Olanzapine;

Quetiapine

(these atypicals are DOC before Haloperidol and Clozapine) ",
where does the serotonin system arise from in the brain? ,Raphe Nuclei ,
What antidepressant is also prescribed for sleep disorders? ,Trazodone ,
What is the main side-effect of a SSRI (causing people to stop using it)? ,"Sexual Dysfunction:

Anorgasmia, ED and Diminished Libido ",
"what is the best Tx for Depression?

What are the contraindications?

AE? (3) ","Electroconvulsive Therapy

(usually done to patient that is severely suicidal and cant wait for drugs to set in)

CI: No contraindications! Good for everyone

AE: Memory, Seizures and Increases ICP ",
What can Lithium cause in an unborn child? ,"Ebstein's Anomaly

(cardiac malformation of the tricuspid valve) ",
DOC for an Acute Mania attack ,Haloperidol ,
what non-Rx Tx is used for Treatment-refractory major depression? ,Vagus Nerve Stimulation ,
Name the (5) main drugs used as Mood Stabilizers ,"Lithium;
Valproic Acid;
Lamotrigine;
Carbamazepine;
Gabapentin ",
"what drug can be used in acute episodes of bipolar disorder but has AE of blood dyscrasia, impaired liver function, thrombocytopenia and prolonged coagulation times? ",Valproic Acid ,
"what is a second-line agent for Bipolar disorder if the patient does not respond to lithium?
(2 possible) ","Carbamazepine

(or Valproic Acid) ",
what drug used for Bipolar disorder renders birth control pills ineffective? ,Carbamazepine ,
what drug for bipolar disorder induces P450? ,Carbamazepine ,
what drug is used for the maintenance phase of bipolar I disorder (depressive phase) and can cause an allergic rash leading to Stevens-Johnson's syndrome? ,Lamotrigine ,
What is the main drug class that treats anti-anxiety (Anxiolytics)? ,Benzodiazepines ,
what do you treat a benzodiazepine overdose with? ,Flumazenil ,
"what is the generic Name and class:

Alprazolam ","Xanax
(Benzo) ",
"what is the trade Name and class:

Chlordiazepoxide ","Librium

(Benzo) ",
"what is the trade Name and class:

Diazepam ","Valium

(Benzo) ",
"what is the generic Name and class:

Lorazepam ","Ativan

(Benzo) ",
"what is the generic Name and class:

Temazepam ","Restoril

(Benzo) ",
"Main treatment for Generalized Anxiety Disorder that does not cause dependence, sedation or anorgasmia. ",Buspirone ,
"Which Benzos can be given to patients with liver failure?
(3) ","Outside The Liver:

Oxazapam,

Lorazapam,

Temazapam ",
(3) main AE of Benzos ,"Sedation;

Dependence;

Memory impairments
(not good for elderly) ",
Benzo used for a Panic attack ,Alprazolam ,
what separates ADHD from other conduct disorders? ,"Child must have Sx in at least two areas
(such as home and school) ",
(2) AE of Methphenidate to children ,"1. Growth Hormone Supression

2. Tremor

(recommended to take holiday from drugs during summer) ",
"Tourette's is associated w/ what (2) comorbid psychiatric illnesses?

Tx? (3 possible) ","ADHD and OCD

Tx:
1. Haloperidol
2. Pimozide
3. Clonidine ",
"Tx of choice for patient w/ Anorexia that is not life-threatening?
(2 in order) ","Tx:

1. Monitor calories, weight and serum electrolytes
(counseling)

2. SSRI (Fluoxetine)
(also for Bulimia) ",
"What internal substance can commonly induce a panic attack in those that are predisposed to having them?
(2) ","Sodium Lactate

or

Carbon Dioxide ",
What can rapid refeeding after anorexic starvation precipitate? ,Hypermetabolic HypoPhosphatemia ,
"What musculoskeletal complaint frequently is reported in bulemics?
Why? ","Muscle Spasms

(due to low serum Potassium and Sodium) ",
A high GGT and MCV indicates what type of substance abuse? ,Chronic Alcohol abuse ,
What is the best way to approach acute pharmacotherapy for GAD? ,"Give a Benzo-Buspirone combo immediately along w/ having them start a SSRI. In about 3 weeks, when the SSRI begins to work, ween them off the Benzo-Buspirone combo ",
How is GAD different from Panic disorder? ,"Panic Disorder: Discrete episodes of Anxiety

GAD: Consistent worry about all aspects of their life ",
"What is the behavior therapy and medical Tx (2) for Panic Disorder?

Which med is for Acute Sx?
Chronic? ","Tx:

1. Cognitive Behavior Therapy

2. Benzo (Aprazolam) for Acute Sx

3. SSRI (first-line) for Chronic Sx ",
"what is the Behavioral therapy for Specific phobias?
(2) ","Systematic Desensitization
(incorporates relaxation)

or

Flooding
(no relaxation techniques) ",
What is the Tx for stage fright? ,Beta-Blocker ,
"What type of behavior therapy is good for OCD?

What are the (2) medications and classes that Tx it? ","BT:
Exposure-Response Therapy
(make them dirty and prevent them from washing hands)

Meds:
1. SSRI: Fluoxetine
2. TCA: Clomipramine ",
MCC of Post-traumatic Stress D/o in Men? Women? ,"Men: Combat

Women: Rape ",
"A 10yo boy was raped by his uncle. Whenever he thinks of the rape he goes to the sink and washes his hands 100 times.
Dx?
First line Tx? ","Post-Traumatic Stress Disorder

(This is a ""Repetition Compulsion"" to decrease the boy's level of anxiety; it is a repetitive behavior that stems from an INCIDENT, not like OCD)

First line Tx: SSRI ",
"Marty is a 30-year-old male who lives with his mother. He works as a night-time cleaner in a large store since he dropped out of college many years ago. He complains of being “nervous all of the time” and would like to “get his life back”. He stated that he would like to change jobs but prefers his current job because he does not have any contact with other employees. 
He did not have many friends in high school or in college, mostly due to his feeling “self-conscious”. When among strangers, he would feel nervous and would “break out in a sweat”. He had what he described as “nervous attacks”, which came on suddenly and lasted for a few seconds to minutes. These attacks only came on when in the presence of strangers. Since these episodes increased in intensity and frequency, he dropped out of college.
Dx? ","Social Phobia

(not a panic attack, which occurs “out of the blue” versus someone uneasy around strangers) ",
What is seen on a CT/MRI and PET-scan to indicate Schizophrenia? ,"CT/MRI: Increase in size of Ventricles

PET-scan: Hypoactivity of Frontal Lobes ",
"Schizophrenia type:

presence of delusions of grandeur or persecution 
(example: think they are followed by FBI) ","Paranoid

(MC type) ",
"Schizophrenia type:

marked regression to primitive, disinherited, and disorganized behavior, worst prognosis, early onset; ""Facial Grimacing"" or ""silly affect""; most inappropriate of all types ",Disorganized ,
"Schizophrenia type:

Patient is running around and jumping on tables, then finally collapsing in exhaustion; may become rigid or have bizarre postering ",Catatonic ,
"Schizophrenia type:

characteristics of more then one other type ",Undifferentiated ,
"Schizophrenia type:

frequent auditory hallucinations ",Paranoid ,
"Schizophrenia type:

patient meets criteria for schizophrenia in the past but now lacks delusions or hallucinations ",Residual ,
what is the difference in Type I or Type II schizophrenia? ,"Type I: Positive and Negative Sx
(Tx: Typical or Atypical Anti-psych)

Type II: Negative Sx only
(Tx: Atypical Anti-psych) ",
"What is this an example of:

""I am the King of Budapest"" ","Delusion

(fixed false belief) ",
"What is this an example of:

Patient describing the trees looking like scary monsters ","Illusion

(sensory misconception) ",
"If an unstable patient in the ER mentions he is having visual hallucinations, what is you first thought of Dx? ","Drugs

(visual is more related to drugs and auditory is more related to schizophrenia) ",
"Aside from time, what is the difference between a Brief Psychotic Disorder and other Schizophrenic disorders? ","BPD involves a Stressor that initiates the Sx

(stressor could include giving birth; time from 1 day to 1 month) ",
what is the difference b/t Delusional disorder and Schizophrenia? ,"Delusional disorder:
Delusions are non-bizzare and could be possible;
Delusions occur of at least 1 month ",
"Type of Delusional Disorder:

the individual is being harassed or malevolently treated ",Persecutory ,
"Type of Delusional Disorder:

the individual posses exaggerated power, money or knowledge ",Grandiose ,
"Type of Delusional Disorder:

thinks that another person, usually of higher status, is in love with the individual ",Erotomanic ,
"Type of Delusional Disorder:

that the individuals partner is unfaithful ",Jealous ,
"Type of Delusional Disorder:

that the individual has a physical defect or a medical condition ",Somatic ,
"what is a ""Clang Association""? ",a Rhyming of words seen in schizophrenics ,
"a patient has sudden loss of muscle tone and drops to the floor, only to be in REM within 10 minutes.
Dx?
Tx?
(2 possible) ","Dx: Cataplexy

Tx:
1. Imipramine + stimulant
2. SSRI + stimulant ",
"What is the definition of hallucinations when falling asleep?
Waking up? ","GOing to sleep: HypnaGOgnic

Waking up: Hypnopompic ",
(2) Drug Tx for Narcolepsy ,"1. Methphenidate

2. Modafinil ",
How is Narcolepsy waking different from waking after passing out from alcohol? ,Narcolepsy patients feel refreshed after waking ,
"A middle-aged overweight businessman complains of being tired all day.
Dx?
Tx? ","Dx: Sleep Apnea

Tx: Continuous Positive Ariway Pressure
(C-PAP) ",
"A patient has depressed Sx during winter months but feels fine during the summer.
Dx?
Tx? ","Dx: Seasonal Affective Disorder

Tx: Phototherapy ",
"A 22-yo female was arguing with her boyfriend and the next day she has a depressed mood.
Dx?
Tx? ","Dx: Adjustment Disorder
(characterized by the development of symptoms in response to an identifiable stressor occurring within 3 months of the onset of the stressor; examples: car accident, divorce, etc; NOT berevement)

Tx: Supportive Psychotherapy ",
"What is the term for a condition similar to post-traumatic stress disorder, but Sx occur w/i 1 month of the traumatic event and last from 2 days to 1 month? ",Acute Stress Disorder ,
"A 30-year-old female was fired from her job about 1 month ago. Since then, she has complained of depressed mood and sleep problems. She denies any appetite or weight problems. She denies any suicidal ideation or plan. Her concentration is good and her memory is intact.
Dx? ",Adjustment Disorder ,
what (3) sleep changes are common in depressed patients? ,"1. Decreased Slow-Wave Sleep
2. Decreased REM
3. Early-morning Awakening ",
"what is the difference b/t Substance Dependence and Abuse?
(3) ","Abuse leads to Dependence

Dependence also has:
Tolerance;
Withdrawal;
Inability to control ETOH use ",
A 15yo boy builds model airplanes. What is most likely drug of abuse? ,"Alcohol

(Alcohol is always most abused) ",
Number one risk factor for Suicide ,"Psychiatric illness

(then: Previous Attempt) ",
what is the highest rate of suicide for any age group? ,Elderly (>65) Men ,
What is the highest ethnicity for suicide? ,Native American Adolescents ,
Most common way to commit suicide? ,Gun ,
How can you tell the difference b/t a cocaine/amphetamine user and paranoid schizophrenia? ,"Drug test

(Cocaine stays in system for 2 - 3 days) ",
"Substance Abuse Buzz words:

Paranoia ",Cocaine or Amphetamines ,
"Substance Abuse Buzz words:

Arrhythmia ",Cocaine or Amphetamines ,
"Substance Abuse Buzz words:

Depression ","Cocaine withdrawal

(worry about suicide) ",
"Substance Abuse Buzz words:

Severe Violence ","PCP

(also vertical nystagmus) ",
"Substance Abuse Buzz words:

Pinpoint pupils ","Opiate overdose
(Heroin) ",
"Substance Abuse Buzz words:

Flu-like Sx ",Opiate Withdrawal ,
"Substance Abuse Buzz words:

Seizures
(2) ","1. Benzodiazepine intoxication


2. Opioid withdrawal (?) ",
"Substance Abuse Buzz words:

Death ",Barbiturates ,
"Substance Abuse Buzz words:

Tremors after hospital admit ",Alcohol ,
"What are the steps of treating Alcohol withdrawal?
(4) ","1. Rule-out Medical complications (hepatic dysfunction or Wernicke's encephalopathy) by Lab tests and exam
2. Diazepam (Benzodiazepine)
3. Multi-vitamins w/ Thiamine and Folate
4. Control electolytes and fluids (inc Glucose) ",
"what is given to manage cocaine/amphetamine intoxication?
(2 possible meds) ","Haloperidol

or

Benzodiazepine ",
"A pateint enters the ER w/ confusion, ophthalmoplegia, ataxia with memory loss and a personality change and smells of alcohol.
Dx? ",Wernicke-Korsakoff syndrome ,
"A patient presents complaining about multiple problems in various organ systems.
Dx?
Tx? (2 in order) ","Dx: Somatization Disorder

Tx:
1. Continue to Treat w/ brief monthy visits
(fearing that if you deny Tx, then they may go to someone else costing the patient time and money)
2. Slowly begin to tell patient that Sx are psychological
(never refer to psychiatrist) ",
"A 50yo woman was referred by her husband’s psychiatrist because of “attacks of dizziness” that have been occurring for more than 10 years. Every day, at about 3pm, the attacks occur. They leave her helpless and, when her husband arrives, she is unable to attend to him. She remains in bed until 8pm when the attacks subsided then falls asleep. She describes her husband as someone who repeatedly abused her and their children, which resulted in their leaving home at an early age, and moving in with their grandmother. He would make comments about the house, dinner, etc. Many times, these verbal comments were followed by actual episodes of violence, several of which have resulted in her hospitalization.
Dx?
Tx? ","Dx: Conversion Disorder

(One or two neurological symptoms affecting voluntary or sensory function that cannot be explained by any known neurological disorder; as a result of stressor the person has sx like paralysis or blindness or deafness...usually from seeing, hearing or doing something wrong)

Tx: Psychotherapy ",
"what is ""La Belle Indifference"" and what disorder is it seen in? ","Seen in: Conversion Disorder

Lack of concern about being paralyzed, blind or deaf ",
"A patient believes that she has a specific disease, giving the actual name of the disease, regardless of reassurance that the person is healthy.
Dx? ",Hypocondriasis ,
"A patient believes a body part is abnormal, defective, or misshapen.
Dx?
Tx? (2 together) ","Dx: Body Dismorphic Disorder

Tx:
1. Psychotherapy
2. SSRI (or a TCA or MAOI) ",
"A patient with conscious production of signs and symptoms of a medical or mental disorder (example: placing blood in urine test to alter labs) to assume a sick role.
Dx? ","Factitious Disorder (Munchausen's syndrome)

If doing it to a child it is Factitous by proxy
(illness caused by a parent).
Parent should be reported to child abuse. ",
"A person who has conscious claims of a medical problem for a specific gain
Dx? ","Malingering

(Different from Factitious disorder b/c it is for a specific gain and not attention) ",
"A patient cannot remember what his name is, but remembers what he had for lunch. He is otherwise healthy.
Dx? ","Dissociative Amnesia

(This clinical picture is exactly the reverse of the one seen in dementia, in which patients may remember their names but forget general information, such as what they had for lunch. Except for their amnesia, patients with dissociative amnesia seem completely intact and function coherently. By contrast, in most amnesias due to a general medical condition (such as postictal and toxic amnesias), patients may be confused and behave in a disorganized manner. Other types of amnesias (e.g., transient global amnesia and postconcussion amnesia) are associated with an ongoing anterograde amnesia, which does not occur in patients with dissociative amnesia. This Amnesia deals with forgetting something of a stressful nature) ",
"Definition:
The invention of false information to cover up a gap in memory ",Confabulation ,
"Dx:
an acute and transient retrograde amnesia that affects recent memories such as date and location, but maintains personal information like name. Although patients are usually aware of the amnesia, they may still perform highly complex mental and physical acts during the 6 to 24 hours that the episodes usually last. ","Transient Global Amnesia

(can be due to a TIA, migraine, or seizure) ",
"Dx:
A patient physically travel away from their customary homes or work situations and fail to remember important aspects of their previous identities (name, family, occupation). ","Dissociative Fugue

(Such patients often, but not always, take on an entirely new identity and occupation, although the new identity is usually less complete than the alternate personalities in dissociative identity disorder, and the old and new identities do not alternate, as they do in dissociative identity disorder) ",
"Dx:
A patient has two or more distinct personalities, each of which determines behavior and attitudes during any period in which it is dominant. Its cause typically involves a traumatic event, usually childhood physical or sexual abuse

Tx? (2) ","Dissociative Identity disorder
(multiple personality disorder)

Tx:
Psychotherapy
Hypnotherapy ",
"Dx:
A persistent or recurrent alteration in the perception of the self to the extent that a person's sense of his or her own reality is temporarily lost. Patients may feel that they are mechanical, in a dream, or detached from their bodies.
Next step? ","Depersonalization Disorder

Next step: Neurologic testing
(The fact that depersonalization phenomena may result from gross disturbances in brain function underlies the necessity for a neurological evaluation, especially when the depersonalization is not accompanied by common and obvious psychiatric symptoms. In particular, the possibility of a brain tumor or epilepsy should be considered. The experience of depersonalization may be the earliest presenting symptom of a neurological disorder) ",
"Define:

Anterograde Amnesia

Retrograde Amnesia ","Anterograde: Ability to learn new information

Retrograde: Ability to recall previously remembered knowledge ",
What type of amnesia is assoc w/ ECT? ,"Retrograde (a few minutes before Tx)

and

Anterograde (for up to 5 hours after Tx) ",
"A 50-year-old man presents to an ED w/ a one day Hx of bilateral tremor in his hands, diaphoresis, anxiety, headache, and the sensation that ""my skin is crawling"". He denies other symptoms. He takes hydrochlorothiazide for HTN. He states that he sees a psychiatrist for bipolar disorder and anxiety, and that he takes three psych meds, the names of which he can not remember. He ran out of his meds three days ago. His temperature is 37 C (98.6 F), blood pressure is 150/100 mm Hg, pulse is 115/min, and respirations are 20/min. Physical examination is notable for diaphoresis and tremulousness.
What drug is the most appropriate initial step in this patient's care? ","Lorazepam

(The patient takes an unknown anxiety medication, and is most likely experiencing benzodiazepine withdrawal symptoms. Commonly observed symptoms of benzodiazepine withdrawal include: anxiety, diaphoresis, irritability, insomnia, fatigue, headache, myalgias, nausea, perceptual disturbances, tremors, and seizures. The most appropriate management step would be parenteral administration of a short-acting benzodiazepine, such as lorazepam) ",
"A 61-year-old woman, who has been treated with amitriptyline for depression, is brought to her psychiatrist by her family. The woman is confused, disoriented, and hallucinating, and her skin appears dry and warm. The family noticed that she took more pills than prescribed.

Dx? ","Anticholinergic delirium

(caused by the use of anticholinergics or other drugs with anticholinergic properties, like tricyclic antidepressants. In elderly patients, the symptoms can be present even with usual doses. Overdosing results in clouding of consciousness, as well as constipation, urinary retention, dry mouth, elevated temperature, dry flushed skin, worsening of glaucoma, and tachycardia) ",
"A 63-year-old white male who has recently retired from work as a plumber for over 30 years returns to his family physician saying that he has been feeling very down lately, and has been having decreased appetite and a loss of interest in activities that used to give him pleasure. He is a smoker, drinks no alcohol, and is being treated by his family physician for moderate essential hypertension. What is the most appropriate next step in management? ","Review the patient's medication history

(Many medications used to control hypertension, such as propranolol, and in the past, reserpine, are known to occasionally lead to depressive symptoms. By evaluation of the patient's medication record, the physician can evaluate which medications were started at what time and can make adjustments to dosage or switching to alternative medications to control hypertension) ",
"A woman who attends weekly psychotherapy sessions becomes furious at her psychiatrist, who is about to leave for vacation and is not willing to reveal where he is going. She angrily says that he is just like her father, who always had his own ""own life"" outside the family. What best describes this patient's reaction? ","Transference

(Transference is defined by psychoanalysts as a patient's unconscious feelings and behavior toward the analyst that are based on infantile wishes the patient has toward parental figures) ",
"A 44-year-old, HIV-positive patient has been treated for Pneumocystis carinii pneumonia in the hospital. He has a prior history of depression and was treated with paroxetine, which was continued in the hospital. While in the hospital, he became delirious and had visual hallucinations. The psychiatry consult team started him on olanzapine. The patient's delirium gradually resolved, but prior to discharge he complained that his urine stream became weak and his bladder felt full. On examination, the physician confirmed lower abdominal distention. What medicine is the most effective treatment? ","Bethanechol

(Bethanechol is direct-acting cholinergic stimulant effective in reducing the peripheral anticholinergic effects of some psychotropic medications. It can be administered intramuscularly, orally, or subcutaneously to efficiently relieve the symptoms of urinary retention) ",
"A 24-year-old man was recently hospitalized in a psychiatric unit, where he was started on olanzapine. Upon visiting his new primary care physician for a routine physical examination prior to participating in a vocational rehabilitation program, his physician notices that his thoughts are quite illogical. For example, when she asks the young man what sort of employment he hopes to work toward, he answers, ""if you subtract some yellow from the sky, it becomes greener."" After a brief silence, he then states, ""telephone bills should never exceed twenty dollars ... according to the Book of Numbers."" What mental status examination finding most accurately describes this patient's thought processes? ","Loose Associations

(His ideas are disconnected and seem to jump from one topic to an unconnected topic. Loose associations are one of the characteristic signs of a primary thought disorder, such as schizophrenia) ",
"Dx:
poor ability to think in abstract terms, despite normal intelligence ",Concrete thinking ,
"Dx;
when thoughts and speech halt, often in mid-sentence, as if forgotten. The idea may be picked up later, after a period of apparent confusion ",Thought Blocking ,
"Define:
a person's biological sexual characteristics: chromosomes, external genitalia, internal genitalia, hormonal composition, gonads, and secondary sexual characteristics ",Sexual Identity ,
"A 40-year-old man is admitted to the hospital for evaluation and treatment of depression associated with suicidal thoughts. He denies any past psychiatric history. His medical history is significant for hypertension, for which he currently takes hydrochlorothiazide. He also describes a history of once having a painful erection that lasted for eight hours and had to be treated with intracavernous injections in the emergency room. He states that this was thought to be related to an antihypertensive medication that he used to take. During the treatment of this man's psychiatric condition, what medication should be avoided? ","Trazodone

(Trazodone is an older antidepressant medication that is commonly used in lower doses for the treatment of insomnia associated with depression. Due to its significant alpha-adrenergic blocking properties, it has been associated with priapism) ",
"A 28-year-old man presents to his primary care physician for his yearly physical examination. He currently smokes approximately one pack of cigarettes a day and is interested in quitting. He has no significant past medical history and has no allergies. He is interested in smoking cessation classes, but would like additional help. What medication would be the most appropriate agent for treating nicotine dependence in this patient? (spell it) ",Bupropion (Wellbutrin) ,
"A 72-year-old man with a history of renal dysfunction, congestive heart failure, and previous myocardial infarction is currently undergoing dialysis. Over the past few weeks, he has been feeling increasingly depressed and has begun to act bizarrely, with persecutory delusions that the government is poisoning the chemicals used on him for dialysis. Also in the last few weeks, due to increased stomach pain, his medications have been adjusted and now include cimetidine for stomach ulcers, digoxin, and a baby aspirin daily. He also takes docusate sodium as needed for stool softening and ibuprofen as needed for mild arthritis pain. Which of the medications would be most likely to have induced the symptoms the patient is now experiencing? ","Cimetidine

(the only drug listed known to cause psychiatric effects of clinical significance, including delusions and psychosis. The exact mechanism is unknown, but is thought to be related to the effects of cimetidine on the H-2 histamine receptor in the brain. The treatment of cimetidine-induced psychosis is to reduce the dosage of the medication, and discontinue it if an alternative therapy is available) ",
"A 34-year-old man is admitted to the psychiatric temporary observation unit complaining of depression and suicidal ideation following a cocaine binge. During his stay, he starts feeling as if insects are crawling under his skin. This is most typical of what phenomena? ","Formication

(a form of haptic hallucinations, associated with the sensation of touch. It is commonly seen in delirium tremens, amphetamine psychosis, and cocaine intoxication) ",
"A 20-year-old white man is brought to the emergency clinic by two friends on a Sunday morning after a fraternity party the night before. His friends note that since the party, he has been very belligerent, agitated, and loud. They suspect that he may have used drugs with some friends at the party. His temperature is 37 C (98.6 F), blood pressure is 145/95 mm Hg, pulse is 105/min, and respirations are 20/min. Physical examination reveals slurred speech, unsteady gait, and nystagmus. The patient appears to be responding to auditory hallucinations.
Dx? ","Phencyclidine (PCP) intoxication

(intoxication is characterized by maladaptive behavioral changes, and may be associated with vertical or horizontal nystagmus, hypertension, tachycardia, numbness or decreased response to pain, ataxia, dysarthria, muscle rigidity, and seizures; not alcohol withdrawal b/c of the nystagmus) ",
"A 25-year-old woman presents to the emergency department complaining that she is having auditory hallucinations and tremors, along with associated nausea and vomiting. She feels very anxious. On mini-mental status examination, she scores 22 of 30, and she appears to be obtunded. From what substances is this patient most likely withdrawing? ","Benzodiazepines, such as alprazolam (Xanax)

(Symptoms include insomnia, tremor, gastrointestinal distress, hallucinosis, and anxiety. Withdrawal from benzodiazepines can also be accompanied by generalized seizures) ",
"A 68-year-old woman with hypertension comes to the physician because of decreased appetite, fatigue, insomnia, inability to concentrate, and feelings of worthlessness over the past two months. She states that her grandchildren are coming to stay with her for three weeks and she ""wants to get to the bottom of this"" before they arrive. Her antihypertensive medication was changed three months ago. What antihypertensive medication is the most likely cause of the patient's new symptoms? ","Propranolol

(The symptoms of change in appetite, fatigue, insomnia, lack of concentration, and worthlessness for greater than 2 weeks are consistent with depression. Propranolol is one of the most common pharmacological agents to cause depression. Other side effects of propranolol include dizziness, bronchospasm, nausea, vomiting, diarrhea, and constipation. It may also precipitate asthma, congestive heart failure, and hypoglycemia in susceptible patients) ",
"A medicine consult is requested on a 32-year-old woman with paranoid schizophrenia who is a patient in a closed psychiatric unit. Several days after the patient's admission, she developed polyuria, vomiting, stupor, diarrhea, and restlessness. She is currently taking risperidone, 10 mg given at bedtime, but no other medications. What is the most likely diagnosis? ","Water Intoxication

(This patient is showing the symptoms of psychogenic polydipsia, which is the excessive intake of water as a result of a psychiatric disorder. The symptoms of excessive water intake include polyuria, vomiting, and diarrhea. As the patient is on a closed psychiatric unit, the chances of reactions to excessive medications are rare, given the careful monitoring of medication intake on most psychiatric units. Surreptitious water consumption would be easy to overlook in a patient without a previous history) ",
